District,Konie,Bydło rogate,Trzoda chlewna,Owce,Kozy
AUGUSTOWSKI,14800.0,26855.0,24599.0,15866.0,15.0
BIAŁOSTOCKI,28828.0,53750.0,38827.0,27019.0,57.0
BIELSKI (BIELSK PODLASKI),43599.0,75097.0,56040.0,85359.0,135.0
GRODZIEŃSKI,36312.0,55439.0,36710.0,50946.0,112.0
ŁOMŻYŃSKI,33244.0,62911.0,40385.0,14059.0,67.0
OSTROŁĘCKI,21339.0,47254.0,22728.0,9693.0,20.0
OSTROWSKI (OSTRÓW MAZOWIECKA),14741.0,33566.0,21982.0,5664.0,38.0
SOKÓLSKI,26602.0,41031.0,30665.0,45089.0,10.0
SUWALSKI,23048.0,36768.0,37281.0,24158.0,90.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),15242.0,25298.0,14559.0,5577.0,1.0
WOŁKOWYSKI,29535.0,56232.0,35824.0,60734.0,50.0
WYSOKOMAZOWIECKI,18186.0,39654.0,21736.0,4247.0,17.0
BIAŁYSTOK (MIASTO),1218.0,1564.0,2908.0,62.0,190.0
BĘDZIŃSKI,4779.0,11339.0,2338.0,336.0,4119.0
CZĘSTOCHOWSKI,15535.0,44406.0,16397.0,3281.0,890.0
IŁŻECKI,18006.61667788644,48581.485076005745,25503.59970294246,2116.403124814447,406.6691468115058
JĘDRZEJOWSKI,16476.073973332852,36362.634262143365,13040.61737624999,2690.5070680705117,351.598692725724
KIELECKI,14881.0,46862.0,9629.0,2265.0,325.0
KONECKI,10760.953188393973,41237.42047086487,10970.655418297265,2813.933575508806,270.43392914969763
KOZIENICKI,17873.0,41337.0,28122.0,1508.0,157.0
MIECHOWSKI,23164.926026667148,47571.36573785663,19446.382623750007,1294.4929319294881,1528.401307274276
OLKUSKI,12225.0,36632.0,8675.0,2243.0,2072.0
OPATOWSKI,19413.0,51701.0,26308.0,1642.0,282.0
OPOCZYŃSKI,14868.046811606026,38687.57952913513,19116.344581702735,13570.066424491193,93.56607085030237
PIŃCZOWSKI,20867.0,42519.0,15103.0,994.0,616.0
RADOMSKI,22399.38332211356,54894.51492399425,31944.400297057535,4696.596875185553,86.3308531884942
SANDOMIERSKI,15718.0,38965.0,22793.0,1815.0,175.0
STOPNICKI,21443.0,54097.0,18135.0,333.0,113.0
WŁOSZCZOWSKI,14988.0,32431.0,11732.0,1747.0,175.0
ZAWIERCIAŃSKI,6575.0,24920.0,2836.0,1764.0,1081.0
CZĘSTOCHOWA (MIASTO),1081.0,1049.0,1452.0,64.0,208.0
SOSNOWIEC,825.0,769.0,153.0,14.0,808.0
RADOM (MIASTO),579.0,614.0,193.0,0.0,57.0
BIALSKI (BIAŁA KRAKOWSKA),4773.0,27478.0,13412.0,700.0,1544.0
BOCHEŃSKI,8845.0,38327.0,15765.0,309.0,504.0
BRZESKI (BRZESKO),8929.0,39558.0,12127.0,276.0,555.0
CHRZANOWSKI,4320.0,18742.0,4494.0,233.0,3431.0
DĄBROWSKI,9934.0,30961.0,11044.0,147.0,248.0
GORLICKI,8955.0,49697.0,11831.0,2290.0,1202.0
JASIELSKI,11729.0,47214.0,15458.0,2119.0,1476.0
KRAKOWSKI,11532.0,41191.0,12563.0,444.0,1866.0
KRAKÓW (MIASTO),1816.0,1969.0,1184.0,15.0,454.0
LIMANOWSKI,4814.0,41544.0,7216.0,4388.0,912.0
MIELECKI,10990.0,36610.0,12759.0,87.0,119.0
MYŚLENICKI,7343.0,43514.0,11164.0,1181.0,1592.0
NOWOSĄDECKI,10501.0,65802.0,18062.0,6878.0,1398.0
NOWOTARSKI,12659.0,65019.0,12967.0,28779.0,827.0
TARNOWSKI,10430.0,40011.0,12363.0,342.0,532.0
WADOWICKI,7522.0,50630.0,18266.0,1108.0,2089.0
ŻYWIECKI,4689.0,46238.0,8722.0,3081.0,1527.0
DĘBICKI,15157.0,50907.0,13098.0,269.0,369.0
BIALSKI (BIAŁA PODLASKA),20869.99999987356,39745.999999759195,38166.99999976876,21280.999999871066,102.99999999937596
BIŁGORAJSKI,18229.0,43407.0,18231.0,1464.0,60.0
CHEŁMSKI,25755.0,47328.0,32615.0,1285.0,39.0
GARWOLIŃSKI,20655.0,50163.0,46780.0,2191.0,181.0
HRUBIESZOWSKI,29507.0,39938.0,28626.0,2175.0,52.0
JANOWSKI,21959.0,54041.0,30973.0,2233.0,95.0
KRASNOSTAWSKI,24612.0,46899.0,28673.0,1304.0,92.0
LUBARTOWSKI,15764.0,33504.0,36337.0,728.0,79.0
LUBELSKI,25294.0,61282.0,45907.0,4315.0,66.0
ŁUKOWSKI,19193.0,41876.0,40943.0,5365.0,130.0
PUŁAWSKI,19459.0,43772.0,38468.0,1456.0,132.0
RADZYŃSKI,18111.0,30723.0,29996.0,4665.0,11.0
SIEDLECKI,23254.0,45227.0,39545.0,12387.0,91.0
SOKOŁOWSKI,14401.0,32209.0,21342.0,3569.0,49.0
TOMASZOWSKI,22529.0,35976.0,21934.0,1011.0,105.0
WĘGROWSKI,13405.0,34406.0,20548.0,1012.0,47.0
WŁODAWSKI,23007.0,46250.0,38134.0,5447.0,123.0
ZAMOJSKI,24927.0,42823.0,24996.0,656.0,89.0
LUBLIN (MIASTO),1003.0,1023.0,1000.0,17.0,68.0
BÓBRECKI,13267.0,30686.0,14102.0,237.0,370.0
BRZOZOWSKI,7867.0,35075.0,6285.0,300.0,691.0
DOBROMILSKI,9279.010162534842,36365.00461423535,7024.782341711463,375.22410793771763,679.2695008283276
DROHOBYCKI,18625.144464798894,49061.87353293729,13399.19982682424,4242.667911401176,901.652962650884
GRÓDECKI,12390.0,26286.0,9804.0,999.0,49.0
JAROSŁAWSKI,22071.0,50264.0,15240.0,375.0,313.0
JAWOROWSKI,14809.964560993008,30505.394995294235,11255.591272985663,2201.2308836285833,25.134106139551314
KOLBUSZOWSKI,8583.0,32688.0,5237.0,12.0,38.0
KROŚNIEŃSKI,9880.0,43948.0,10996.0,1817.0,683.0
LESKI,13029.0,49716.0,9134.0,5906.0,510.0
LWOWSKI,21480.0,47697.0,13306.0,134.0,114.0
LWÓW (MIASTO),2441.0,2891.0,771.0,5.0,359.0
ŁAŃCUCKI,12509.0,39710.0,10697.0,734.0,284.0
MOŚCISKI,14723.0,32286.0,13572.0,626.0,65.0
NIŻAŃSKI,8101.0,24769.0,9008.0,318.0,84.0
PRZEMYSKI,16244.0,45267.0,10773.0,639.0,458.0
PRZEWORSKI,7721.0,23967.0,7377.0,149.0,339.0
RAWSKI (RAWA RUSKA),18462.0,37313.0,21592.0,4667.0,66.0
RUDECKI,13525.0,26179.0,10920.0,88.0,25.0
RZESZOWSKI,17204.0,70791.0,21026.0,210.0,913.0
SAMBORSKI,18677.845372666266,45783.12185282736,12813.017831464298,432.1079806611063,212.07753652078839
SANOCKI,14578.0,44694.0,8204.0,2503.0,904.0
SOKALSKI,23779.473237820835,32380.284882458218,30016.029011057723,20447.88649163415,90.28421498004406
TARNOBRZESKI,11346.0,29241.0,13150.0,245.0,136.0
ŻÓŁKIEWSKI,16182.0,31539.0,20246.0,719.0,92.0
LUBACZOWSKI,15148.035439006992,30576.605004705765,14944.408727014337,2852.7691163714167,20.865893860448686
TURCZAŃSKI,12768.0,49575.0,10159.0,14351.0,1208.0
BRZEZIŃSKI,12261.0,34647.0,20655.0,1964.0,321.0
ŁASKI,15987.0,43716.0,19571.0,3648.0,348.0
ŁĘCZYCKI,19037.0,44639.0,26045.0,1262.0,351.0
ŁÓDZKI,11302.0,29664.0,10744.0,1708.0,325.0
ŁÓDŹ (MIASTO),4478.0,2204.0,359.0,153.0,439.0
PIOTRKOWSKI,22965.0,57593.0,28106.0,7795.0,340.0
RADOMSZCZAŃSKI,22315.0,54892.0,24996.0,7183.0,133.0
SIERADZKI,19575.379396393655,55249.00031406284,32763.335848295592,1651.1850818161638,1076.6480136813848
WIELUŃSKI,20871.0,62232.0,34748.0,4758.0,1456.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,26500.0,51298.0,35032.0,25737.0,334.0
LIDZKI,33954.0,72038.0,44435.0,54901.0,47.0
NIEŚWIESKI,21270.0,41300.0,36664.0,34696.0,348.0
NOWOGRÓDZKI,27383.154708977952,53891.515869532865,37410.72770971436,34346.793911563436,71.69507639878702
SŁONIMSKI,23382.0,46861.0,30591.0,51319.0,95.0
STOŁPECKI,16557.845291022048,34698.48413046714,30409.27229028564,28020.206088436567,83.30492360121298
WOŁOŻYŃSKI,20188.0,43630.0,36978.0,31359.0,21.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),20790.0,40835.0,20407.0,32559.0,68.0
BRZESKI (BRZEŚĆ N.BUG.),32960.00000012644,73523.0000002408,46082.00000023124,67178.00000012893,214.00000000062403
DROHICKI,16202.0,45830.0,27174.0,45410.0,40.0
KOBRYŃSKI,19470.0,69497.0,34492.0,64818.0,129.0
KOSZYRSKI,12731.0,50823.0,16132.0,53837.0,14.0
ŁUNINIECKI,18389.348937747567,53216.429963317634,25360.791400465132,34504.95578884169,195.4536201053397
PIŃSKI,27990.651062252433,80810.57003668237,36462.20859953487,64969.04421115831,306.5463798946603
PRUŻAŃSKI,19274.0,43385.0,28901.0,46459.0,215.0
STOLIŃSKI,20250.0,65104.0,22824.0,24429.0,123.0
IWACEWICKI,14251.0,37374.0,18695.0,23220.0,97.0
BRODNICKI,10951.303199590096,29944.60972544197,31300.79447397009,9083.842539483458,879.9545627154
CHEŁMIŃSKI,9916.305507928593,24227.85976423311,30744.327926681326,17859.191547372735,959.3238307188974
CHOJNICKI,8350.905616435954,25270.700705680287,27044.996431920918,12713.098503139732,1996.0119440349372
GRUDZIĄDZ (MIASTO),435.0,289.0,310.0,0.0,104.0
GRUDZIĄDZKI,11522.896073478292,27095.527131393013,28538.1153569753,12125.458645069248,1095.2984675717387
KARTUSKI,9698.140283771621,25584.273062039316,32509.699781420804,9755.844022854168,1041.6013919137533
KOŚCIERSKI,7690.600477129766,22215.663059025763,25269.7104438113,9882.352228596917,1051.767822134542
LUBAWSKI,11084.0,28979.0,27256.0,5084.0,1491.0
SĘPOLEŃSKI,6108.0,19516.0,23194.0,14370.0,1356.0
STAROGARDZKI,8605.67202046875,21228.078452350554,24479.58545327757,7962.051530347323,2266.191376692166
ŚWIECKI,14496.410812847027,34987.967244110005,52925.94392912063,9301.861934356177,3612.7983015483574
TCZEWSKI,10031.0,20280.0,18922.0,7790.0,1971.0
TORUŃ (MIASTO),714.563379038242,837.3088200886409,872.1911545103474,234.2537271404214,233.22757530513303
TORUŃSKI,9515.131113033165,24299.831415678247,23883.480918808324,11387.554725486842,1028.4485939759695
TUCHOLSKI,6063.270789346884,17139.31747679408,20977.063960448784,5848.791780705682,1674.6291636762444
WĄBRZESKI,9853.80072693161,25938.863143165017,28052.090169054605,4221.698815447295,723.7469697128613
MORSKI,8896.0,24853.0,26133.0,11466.0,735.0
GDYNIA (MIASTO),568.0,300.0,156.0,34.0,0.0
BYDGOSKI,11060.218730440522,30700.728250045206,34653.01969696448,8040.524127217674,2150.070536753508
BYDGOSZCZ (MIASTO),1355.781269559479,1051.2717499547975,1460.9803030355188,12.475872782327025,1381.9294632464926
INOWROCŁAWSKI,10853.0,30983.0,32312.0,9941.0,1771.0
INOWROCŁAW (MIASTO),397.0,307.0,568.0,12.0,252.0
SZUBIŃSKI,9454.0,27003.0,30666.0,6217.0,1773.0
WYRZYSKI,12559.0,34541.0,39016.0,17753.0,1992.0
LIPNOWSKI,16970.0,45606.0,30879.0,4256.0,401.0
NIESZAWSKI,17764.0,40441.0,30763.0,5229.0,666.0
RYPIŃSKI,14570.439799659385,35500.81185607659,24819.247831250002,2966.058200215466,135.35975130896696
WŁOCŁAWSKI,16334.0,35609.0,26280.0,7532.0,521.0
CHODZIESKI,7939.0,23489.0,29674.0,3891.0,2194.0
CZARNKOWSKI,4707.0,13039.000000000002,18192.0,1918.0000000000002,2945.0
GNIEŹNIEŃSKI,12844.905323193321,38400.94602443593,48486.05643807119,6121.866021585537,3155.834190725064
GOSTYŃSKI,9138.346389418548,28964.57560190234,28263.639585124896,5373.264508707701,2617.613541587451
JAROCIŃSKI,13396.076005930548,38218.43618755287,33648.66829742958,10137.01673545503,4523.1566305341
KĘPIŃSKI,13995.0,39758.0,34926.0,1706.0,5836.0
KOŚCIAŃSKI,13431.148041698785,43107.545005554595,40744.35156715556,6477.993313477962,5557.7273958317755
KROTOSZYŃSKI,11595.655765255133,36057.39243771279,30225.973983523047,3319.696944760938,2866.896282916945
