District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce (sztuki),Kozy (sztuki)
AUGUSTOWSKI,20293.0,32320.0,43294.0,21524.0,0.0
BIAŁOSTOCKI,31317.0,56487.0,36842.0,29472.0,40.0
BIELSKI (BIELSK PODLASKI),46092.0,75922.0,58357.0,92461.0,39.0
GRODZIEŃSKI,37299.56677961255,56589.77556932433,33007.22723885056,45361.97646524461,93.33331409475535
ŁOMŻYŃSKI,32697.992309983943,61241.81255286148,35079.797708921,18305.237630212643,64.5673747413875
OSTROŁĘCKI,24963.007690016057,50980.18744713852,24481.202291078993,13881.762369787353,33.432625258612504
OSTROWSKI (OSTRÓW MAZOWIECKA),14839.0,33118.0,23861.0,5538.0,35.0
SOKÓLSKI,28531.0,42063.0,30200.0,46106.0,9.0
SUWALSKI,22451.0,36184.0,41714.0,23024.0,104.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),16302.0,26146.0,13112.0,9612.0,12.0
WOŁKOWYSKI,30348.0,56607.0,29218.0,61433.0,47.0
WYSOKOMAZOWIECKI,18236.0,38889.0,24745.0,4758.0,1.0
BIAŁYSTOK (MIASTO),885.0,1358.0,1873.0,34.0,139.0
BĘDZIŃSKI,5000.0,11669.0,2339.0,233.0,2685.0
CZĘSTOCHOWSKI,15716.0,45882.0,23192.0,2524.0,547.0
IŁŻECKI,19106.064240248077,48241.15688866728,33300.10429748156,2450.96349027857,320.7687625668898
JĘDRZEJOWSKI,17026.26662004381,35532.17774514095,14516.509346184064,2674.507851187223,311.41387718187724
KIELECKI,16086.0,48130.0,14654.0,2110.0,216.0
KONECKI,11814.763339181047,40797.46663354037,14706.381894025062,2731.564282440702,199.5124056980472
KOZIENICKI,18610.0,40982.0,34503.0,1733.0,153.0
MIECHOWSKI,23656.73337995619,48958.82225485905,21723.490653815934,1296.4921488127768,1056.5861228181227
OLKUSKI,12638.0,35825.0,11193.0,1849.0,1878.0
OPATOWSKI,20665.0,53658.0,36944.0,1801.0,257.0
OPOCZYŃSKI,15905.236660818953,38697.53336645963,21213.618105974936,11765.435717559298,110.4875943019528
PIŃCZOWSKI,21241.999999284286,45219.999998476385,27503.999999073298,18705.99999936973,1156.9999999610168
RADOMSKI,23659.741586705724,52491.69449361262,34596.97621188187,33575.42541110196,2934.7611437319697
SANDOMIERSKI,16945.0,40418.0,26748.0,28791.0,1908.0
STOPNICKI,23705.000000715714,60496.000001523615,34933.0000009267,25410.00000063027,662.0000000389832
WŁOSZCZOWSKI,15282.0,30031.0,19074.0,12613.0,1614.0
