District,Powierzchnia lasów (ha)
BRZOZOWSKI,14646.0
DOBROMILSKI,36046.66374465585
DROHOBYCKI,48824.71703602421
GRÓDECKI,25122.0
JAROSŁAWSKI,24086.0
JAWOROWSKI,22442.89796283446
KOLBUSZOWSKI,24841.0
KROŚNIEŃSKI,18581.928501475355
LESKI,68488.0
LWOWSKI,23721.0
LWÓW (MIASTO),128.0
ŁAŃCUCKI,17692.0
MOŚCISKI,11439.0
NIŻAŃSKI,41244.0
PRZEMYSKI,21795.0
PRZEWORSKI,4029.0
RAWSKI (RAWA RUSKA),28965.0
RUDECKI,7217.0
RZESZOWSKI,22714.071498524645
SAMBORSKI,23091.61921931994
SANOCKI,33733.0
SOKALSKI,26178.453807290574
TARNOBRZESKI,30978.0
ŻÓŁKIEWSKI,25961.0
LUBACZOWSKI,35524.10203716554
TURCZAŃSKI,41569.0
BRZEZIŃSKI,17041.0
ŁASKI,27821.0
ŁĘCZYCKI,9223.0
ŁÓDZKI,11129.0
ŁÓDŹ (MIASTO),37.0
PIOTRKOWSKI,42610.0
RADOMSZCZAŃSKI,50149.0
SIERADZKI,27693.943423871813
WIELUŃSKI,42872.0
POŁUDNIOWO-WARSZAWSKI,0.0
PÓŁNOCNO-WARSZAWSKI,0.0
PRASKO-WARSZAWSKI,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0
BARANOWICKI,80442.0
LIDZKI,52646.0
NIEŚWIESKI,36584.0
NOWOGRÓDZKI,55331.18404797378
SŁONIMSKI,82014.0
STOŁPECKI,37774.81595202622
WOŁOŻYŃSKI,108787.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),48687.59154629443
BRZESKI (BRZEŚĆ N.BUG.),76942.00000019971
DROHICKI,41134.0
KOBRYŃSKI,39755.0
KOSZYRSKI,73331.0
ŁUNINIECKI,214516.88511033932
PIŃSKI,163576.11488966068
PRUŻAŃSKI,35278.0
STOLIŃSKI,167064.0
IWACEWICKI,132122.0
BRODNICKI,25399.688604351366
CHEŁMIŃSKI,7134.107810929228
CHOJNICKI,74984.05694692762
GRUDZIĄDZ (MIASTO),0.0
GRUDZIĄDZKI,7149.61763927135
KARTUSKI,30171.231304363733
KOŚCIERSKI,31509.632898408447
LUBAWSKI,14424.0
SĘPOLEŃSKI,10382.0
STAROGARDZKI,35855.882518790306
ŚWIECKI,57008.71172055117
TCZEWSKI,8191.909168484064
TORUŃ (MIASTO),563.904942492952
TORUŃSKI,13494.987246577819
TUCHOLSKI,35084.57544247467
WĄBRZESKI,7077.693756377284
MORSKI,40678.0
GDYNIA (MIASTO),3.0
BYDGOSKI,48870.873399791955
BYDGOSZCZ (MIASTO),197.12660020804736
INOWROCŁAWSKI,19750.0
INOWROCŁAW (MIASTO),0.0
SZUBIŃSKI,16324.0
WYRZYSKI,11658.0
LIPNOWSKI,25105.0
NIESZAWSKI,3892.0
RYPIŃSKI,14133.73169689615
WŁOCŁAWSKI,20295.0
CHODZIESKI,23853.0
CZARNKOWSKI,36643.0
GNIEŹNIEŃSKI,8971.70518864689
GOSTYŃSKI,8018.363242594312
JAROCIŃSKI,15714.17545986316
KĘPIŃSKI,26650.0
KOŚCIAŃSKI,12960.295344576834
KROTOSZYŃSKI,14141.36784287792
LESZCZYŃSKI,15402.283302533056
MIĘDZYCHODZKI,25424.0
MOGILEŃSKI,9792.0
NOWOTOMYSKI,31657.0
OBORNICKI,25773.22198342925
OSTROWSKI (OSTRÓW WIELKOPOLSKI),31348.035550088975
POZNAŃ (MIASTO),76.0
RAWICKI,6069.565888886529
SZAMOTULSKI,31549.0
ŚREDZKI,8257.0
ŚREMSKI,17084.913368579215
WĄGROWIECKI,11708.372465346043
WOLSZTYŃSKI,17627.0
WRZESIŃSKI,5830.0
ŻNIŃSKI,8596.0
POZNAŃSKI,14398.352664636588
GNIEZNO (MIASTO),524.3476979412283
KALISKI,22987.357059077178
KOLSKI,9482.0
KONIŃSKI,29475.0
TURECKI,14385.69951705101
DOLIŃSKI,145072.14265448693
HORODEŃSKI,5953.0
KAŁUSKI,42150.292294007006
KOŁOMYJSKI,30244.255663333104
KOSOWSKI (KOSÓW HUCULSKI),65321.0
NADWÓRNIAŃSKI,126025.19172466703
ROHATYŃSKI,20203.0
STANISŁAWOWSKI,29626.276225087553
STRYJSKI,79208.8888467286
ŚNIATYŃSKI,3749.0
TŁUMACKI,14972.532853959068
ŻYDACZOWSKI,20189.968498784467
BIELSKI (BIELSKO),7838.0
BIELSKO (MIASTO),1.0
CIESZYŃSKI,22163.0
TARNOGÓRSKI,13101.0
KATOWICE (MIASTO),642.0
KATOWICKI,3726.999989637695
LUBLINIECKI,35143.0
PSZCZYŃSKI,32337.0
RYBNICKI,19943.0
ŚWIĘTOCHŁOWICKI,223.96026134136093
CHORZÓW,67.03974902094423
BORSZCZOWSKI,15063.550814483135
BRODZKI,34974.519073502655
BRZEŻAŃSKI,23078.943345541356
BUCZACKI,20735.0
CZORTKOWSKI,10077.967258002602
KAMIONECKI,25732.823516103505
PODHAJECKI,12737.635368711599
PRZEMYŚLAŃSKI,20547.0
RADZIECHOWSKI,23154.0
SKAŁACKI,7883.437276572906
TARNOPOLSKI,9298.543476453311
TREMBOWELSKI,9059.526786954422
ZALESZCZYCKI,8151.6656171121
ZBARASKI,4007.0
ZBOROWSKI,9351.480926497346
ZŁOCZOWSKI,24806.72267660592
KOPYCZYNIECKI,10355.18129511482
BŁOŃSKI,11192.0
CIECHANOWSKI,9034.0
GOSTYNIŃSKI,26576.0
GRÓJECKI,16589.171158080007
KUTNOWSKI,3736.0
ŁOWICKI,10166.0
MAKOWSKI (MAKÓW MAZOWIECKI),22536.0
MIŃSKI,17858.0
MŁAWSKI,10599.0
PŁOCKI,7098.0
PŁOŃSKI,6297.0
PRZASNYCKI,29022.0
PUŁTUSKI,25485.0
RADZYMIŃSKI,19889.0
RAWSKI (RAWA MAZOWIECKA),22697.0
SIERPECKI,6570.2683031038505
SKIERNIEWICKI,12051.0
SOCHACZEWSKI,15875.0
WARSZAWSKI,32847.0
DZIAŁDOWSKI,5313.0
DUBIEŃSKI,46408.0
HOROCHOWSKI,22951.0
KOWELSKI,106689.0
KRZEMIENIECKI,29893.0
LUBOMELSKI,44103.0
ŁUCKI,96962.0
RÓWIEŃSKI,51066.0
WŁODZIMIERSKI,32567.0
KOSTOPOLSKI,139363.0
ZDOŁBUNOWSKI,25499.0
SARNEŃSKI,209308.0
BRASŁAWSKI,54249.0
OSZMIAŃSKI,44234.51219531832
ŚWIĘCIAŃSKI,88294.0
WILNO (MIASTO),460.0
DZIŚNIEŃSKI,47411.0
WILEJSKI,69780.0
WILEŃSKO-TROCKI,144231.48780468167
POSTAWSKI,49899.0
MOŁODECZAŃSKI,26011.0
