District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe,Gryka,Proso,Kukurydza,Mieszanki na ziarno: Jęczmień,Mieszanki na ziarno: Inne mieszanki zbóż,Groch,"Fasola, bób, soczewica",Len,Konopie,Rzepak i rzepik,Chmiel,Tytoń
ZAWIERCIAŃSKI,1912.0,18923.0,2565.0,3177.0,11429.0,0.0,112.0,11.0,1.0,138.0,42.0,94.0,48.0,18.0,3.0,7.0,0.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),1318.0,7327.0,536.0,7186.0,6534.0,31.0,3.0,0.0,3.0,199.0,32.0,3.0,22.0,0.0,0.0,13.0,0.0,0.0
BOCHEŃSKI,8452.0,10345.0,3450.0,6245.0,7343.0,0.0,0.0,202.0,41.0,75.0,13.0,73.0,62.0,1.0,3.0,15.0,5.0,0.0
BRZESKI (BRZESKO),8035.0,12439.0,4199.0,7041.0,8702.0,15.0,21.0,455.0,44.0,74.0,37.0,96.0,95.0,13.0,11.0,6.0,0.0,0.0
CHRZANOWSKI,1706.0,10797.0,1064.0,3858.0,8525.0,0.0,1.0,46.0,5.0,48.0,25.0,36.0,64.0,0.0,0.0,0.0,0.0,0.0
DĄBROWSKI,7800.0,10858.0,3494.0,5597.0,6063.0,44.0,10.0,504.0,263.0,62.0,122.0,106.0,158.0,10.0,23.0,45.0,0.0,0.0
GORLICKI,7204.0,9017.0,4378.0,12908.0,7607.0,0.0,4.0,4.0,2.0,498.0,125.0,87.0,167.0,189.0,2.0,2.0,0.0,0.0
JASIELSKI,9449.0,11167.0,4800.0,8623.0,8885.0,15.0,59.0,123.0,16.0,490.0,88.0,144.0,419.0,53.0,35.0,5.0,0.0,0.0
KRAKOWSKI,9901.0,15428.0,2681.0,9735.0,9491.0,90.0,23.0,51.0,7.0,111.0,182.0,106.0,63.0,1.0,0.0,49.0,0.0,0.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,5513.0,6129.0,3985.0,10156.0,6426.0,0.0,0.0,0.0,0.0,260.0,126.0,81.0,29.0,92.0,20.0,0.0,0.0,0.0
MIELECKI,7326.0,13450.0,3455.0,7601.0,9013.0,3.0,86.0,325.0,11.0,304.0,146.0,74.0,62.0,24.0,12.0,13.0,0.0,0.0
MYŚLENICKI,6331.0,9261.0,3619.0,13639.0,8864.0,0.0,0.0,11.0,3.0,121.0,97.0,86.0,59.0,77.0,1.0,2.0,0.0,0.0
NOWOSĄDECKI,6984.0,9906.0,8213.0,18990.0,11221.0,0.0,2.0,8.0,6.0,1159.0,52.0,261.0,235.0,320.0,95.0,7.0,0.0,0.0
NOWOTARSKI,324.0,4229.0,7429.0,33891.0,12961.0,0.0,5.0,0.0,0.0,393.0,4.0,234.0,69.0,510.0,26.0,0.0,0.0,0.0
TARNOWSKI,8055.0,13279.0,4034.0,8499.0,7957.0,25.0,136.0,155.0,19.0,151.0,113.0,129.0,178.0,21.0,11.0,5.0,7.0,0.0
WADOWICKI,5451.0,12532.0,1484.0,14943.0,11758.0,80.0,0.0,3.0,8.0,275.0,65.0,55.0,51.0,10.0,0.0,0.0,0.0,0.0
ŻYWIECKI,1529.0,5666.0,2773.0,13922.0,10215.0,0.0,0.0,0.0,0.0,193.0,24.0,7.0,11.0,83.0,0.0,2.0,0.0,0.0
DĘBICKI,11204.0,19912.0,5705.0,10790.0,12523.0,111.0,77.0,355.0,12.0,301.0,89.0,77.0,120.0,50.0,48.0,13.0,0.0,0.0
BIALSKI (BIAŁA PODLASKA),6537.999999960389,38165.99999976877,3485.9999999788797,14765.999999910538,18161.999999889962,22.999999999860652,1296.999999992142,646.9999999960801,0.9999999999939414,244.99999999851565,257.99999999843686,873.9999999947048,113.99999999930932,487.9999999970434,176.99999999892762,372.99999999774013,0.0,0.0
BIŁGORAJSKI,5336.0,17943.0,5060.0,10690.0,9763.0,0.0,5016.0,858.0,1.0,65.0,24.0,142.0,57.0,639.0,664.0,2.0,0.0,0.0
CHEŁMSKI,18305.0,30927.0,10081.0,10177.0,15701.0,511.0,1850.0,578.0,2.0,891.0,156.0,519.0,173.0,272.0,241.0,367.0,11.0,16.0
GARWOLIŃSKI,5344.0,37756.0,9378.0,12326.0,18360.0,3.0,2501.0,965.0,3.0,253.0,171.0,325.0,86.0,466.0,53.0,278.0,4.0,0.0
HRUBIESZOWSKI,24616.0,16804.0,10210.0,12819.0,10031.0,1564.0,2049.0,778.0,15.0,333.0,216.0,380.0,320.0,273.0,248.0,604.0,16.0,98.0
JANOWSKI,10233.0,26849.0,11046.0,16990.0,13423.0,321.0,5501.0,1386.0,52.0,3239.0,285.0,281.0,181.0,577.0,356.0,307.0,35.0,0.0
KRASNOSTAWSKI,23728.0,19827.0,9772.0,11623.0,12072.0,1148.0,2682.0,639.0,9.0,1506.0,244.0,174.0,33.0,198.0,166.0,250.0,41.0,133.0
LUBARTOWSKI,4779.0,32189.0,3737.0,8580.0,12522.0,178.0,6858.0,469.0,5.0,316.0,100.0,91.0,40.0,222.0,41.0,187.0,40.0,18.0
LUBELSKI,28676.0,31588.0,13144.0,17898.0,17198.0,2667.0,3615.0,448.0,24.0,2402.0,146.0,226.0,82.0,139.0,69.0,417.0,47.0,104.0
ŁUKOWSKI,4731.0,40946.0,3124.0,13541.0,17277.0,0.0,3509.0,478.0,2.0,128.0,103.0,477.0,47.0,754.0,16.0,191.0,28.0,0.0
PUŁAWSKI,8892.0,28040.0,11406.0,9714.0,14518.0,1076.0,3939.0,1363.0,3.0,995.0,153.0,239.0,60.0,150.0,106.0,136.0,156.0,101.0
RADZYŃSKI,8513.0,23597.0,2082.0,12989.0,12933.0,98.0,2751.0,668.0,8.0,122.0,80.0,409.0,73.0,473.0,48.0,178.0,0.0,0.0
SIEDLECKI,7246.0,39862.0,2726.0,14601.0,19283.0,13.0,369.0,161.0,4.0,170.0,1337.0,849.0,36.0,962.0,16.0,121.0,0.0,0.0
SOKOŁOWSKI,6601.0,23390.0,3483.0,7551.0,12824.0,300.0,240.0,199.0,4.0,591.0,777.0,663.0,64.0,633.0,10.0,48.0,0.0,0.0
TOMASZOWSKI,16533.0,16933.0,10262.0,10733.0,9699.0,1008.0,1750.0,693.0,17.0,238.0,275.0,251.0,216.0,349.0,417.0,184.0,21.0,58.0
WĘGROWSKI,5011.0,20799.0,2600.0,7237.0,13118.0,110.0,689.0,366.0,1.0,141.0,166.0,237.0,15.0,539.0,7.0,12.0,0.0,0.0
WŁODAWSKI,7897.0,36263.0,3394.0,11120.0,13581.0,72.0,5233.0,951.0,0.0,31.0,91.0,558.0,189.0,637.0,240.0,429.0,28.0,0.0
ZAMOJSKI,16630.0,16706.0,9154.0,11817.0,10264.0,996.0,1704.0,727.0,12.0,366.0,136.0,509.0,142.0,427.0,422.0,56.0,19.0,161.0
LUBLIN (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BÓBRECKI,10827.0,7452.0,3572.0,6975.0,7880.0,1159.0,655.0,585.0,691.0,143.0,62.0,272.0,115.0,284.0,246.0,28.0,2.0,0.0
BRZOZOWSKI,6133.0,10104.0,3722.0,6567.0,6002.0,40.0,33.0,47.0,2.0,177.0,75.0,77.0,90.0,64.0,104.0,5.0,0.0,0.0
DOBROMILSKI,6535.862297269054,9935.703362276012,2883.0491057762706,9937.10532889051,6827.390872936881,30.826950082832766,30.871866887554045,71.3035395086946,35.283687603540955,142.04113206797356,160.4704482100327,71.9271857307409,219.02363664190133,206.15507840520624,179.94420507092437,16.0,0.0,0.0
DROHOBYCKI,4871.183107270855,11026.902261299165,2884.2617778231856,9891.233651125694,9591.078634743793,0.9652962650883973,77.57412337356907,464.40843442839366,56.2066203313605,53.53230061774792,25.418757605521407,59.660081671793506,241.27834058776588,609.4045195637024,215.53781756054835,0.0,0.0,0.0
GRÓDECKI,5894.0,9700.0,3067.0,7019.0,6628.0,52.0,1343.0,488.0,19.0,181.0,58.0,118.0,311.0,469.0,235.0,13.0,0.0,0.0
JAROSŁAWSKI,11339.0,19709.0,4895.0,9062.0,9946.0,1126.0,528.0,631.0,98.0,177.0,162.0,101.0,61.0,241.0,292.0,56.0,0.0,0.0
JAWOROWSKI,4060.283868729811,15652.790204047455,3325.5073144219714,7577.153720467898,7361.486343063067,2.899946936872215,1279.015214775427,785.9385637843651,11.599911016154739,91.83806297157916,80.23728907476327,77.34147163819797,77.33549310790286,512.3610010815211,360.5929202505686,0.0014792239905407167,0.00012326866587839306,0.0
KOLBUSZOWSKI,2824.0,15300.0,3274.0,4638.0,7887.0,0.0,693.0,658.0,4.0,44.0,115.0,61.0,49.0,266.0,128.0,0.0,0.0,0.0
KROŚNIEŃSKI,7540.0,10919.0,4228.0,9214.0,7966.0,19.0,42.0,76.0,4.0,705.0,142.0,99.0,257.0,69.0,51.0,11.0,0.0,0.0
LESKI,3282.0,8228.0,2726.0,25883.0,8483.0,0.0,5.0,1.0,0.0,32.0,35.0,125.0,366.0,575.0,245.0,1.0,0.0,0.0
LWOWSKI,13444.0,13586.0,3997.0,11610.0,11259.0,255.0,1565.0,588.0,194.0,247.0,245.0,196.0,177.0,295.0,219.0,6.0,25.0,0.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,5907.0,16362.0,3426.0,5971.0,6980.0,350.0,1409.0,1151.0,8.0,56.0,157.0,98.0,76.0,418.0,159.0,2.4056550620807224e-16,29.0,0.0
MOŚCISKI,7895.0,14004.0,3250.0,5636.0,7247.0,32.0,325.0,768.0,219.0,112.0,151.0,68.0,132.0,369.0,266.0,75.0,11.0,0.0
NIŻAŃSKI,3132.0,10599.0,2345.0,3372.0,6699.0,14.0,929.0,776.0,35.0,49.0,18.0,27.0,69.0,247.0,197.0,0.0,0.0,0.0
PRZEMYSKI,12480.0,14330.0,3657.0,6842.0,8739.0,395.0,45.0,128.0,80.0,105.0,70.0,176.0,155.0,28.0,96.0,42.0,0.0,0.0
PRZEWORSKI,5959.0,7327.0,1444.0,3662.0,3522.0,1250.0,68.0,223.0,19.0,138.0,92.0,60.0,34.0,6.0,28.0,44.0,0.0,0.0
RAWSKI (RAWA RUSKA),10892.0,16241.0,8020.0,9622.0,10226.0,155.0,2201.0,980.0,55.0,274.0,153.0,345.0,216.0,189.0,352.0,64.0,0.0,0.0
RUDECKI,6006.0,6571.0,3206.0,4587.0,7117.0,190.0,519.0,716.0,475.0,110.0,83.0,20.0,325.0,538.0,243.0,53.0,0.0,0.0
RZESZOWSKI,14502.0,21458.0,6514.0,10669.0,11178.0,106.0,65.0,344.0,17.0,455.0,143.0,215.0,230.0,65.0,97.0,46.0,0.0,0.0
SAMBORSKI,8901.954595460093,14344.394376424823,5212.689116400545,8463.661019983796,11206.530492319325,21.207753652078836,56.5540097388769,514.2880260629119,26.509692065098548,209.42656731427851,75.11079418444588,80.41273259746559,313.6980227703328,338.4404020310914,231.5179773685273,0.0,0.0,0.0
SANOCKI,7144.0,10236.0,5318.0,15151.0,8343.0,64.0,10.0,19.0,4.0,371.0,65.0,261.0,449.0,244.0,207.0,10.0,0.0,0.0
SOKALSKI,18528.106755520028,12396.717210721434,7729.717790214541,9414.36171368833,10243.785930428076,373.04247068677546,1218.3408351153198,960.3859351723368,14.88201345824902,389.9087526061243,356.17618876742654,884.9837336505417,149.81226881304013,392.88515529777413,544.6816925719141,38.693234991447454,0.0,0.0
TARNOBRZESKI,2855.0,10726.0,3567.0,4126.0,6701.0,168.0,243.0,788.0,0.0,100.0,152.0,74.0,26.0,127.0,82.0,1.0,0.0,0.0
ŻÓŁKIEWSKI,9564.0,11858.0,3858.0,3867.0,6479.0,7169.0,10.0,1171.0,712.0,85.0,126.0,215.0,274.0,173.0,403.0,297.0,12.0,10.0
LUBACZOWSKI,5950.716131270189,13680.209795952544,3924.492685578028,9330.846279532101,7625.513656936932,0.10005306312778506,2292.984785224573,886.0614362156349,2.4000889838452615,107.16193702842084,90.76271092523673,157.658528361802,60.66450689209712,618.6389989184788,545.4070797494313,23.998520776009457,1.9998767313341215,0.0
TURCZAŃSKI,667.0,4814.0,1032.0,32622.0,9671.0,0.0,1.0,0.0,0.0,25.0,17.0,45.0,363.0,805.0,146.0,0.0,0.0,0.0
BRZEZIŃSKI,2719.0,34906.0,1032.0,8260.0,13620.0,47.0,121.0,11.0,4.0,93.0,124.0,174.0,25.0,29.0,3.0,236.0,5.0,0.0
ŁASKI,3150.0,40274.0,1654.0,6589.0,14239.0,42.0,227.0,234.0,23.0,221.0,237.0,205.0,86.0,86.0,4.0,188.0,0.0,0.0
ŁĘCZYCKI,9660.0,36148.0,3052.0,8118.0,13656.0,1473.0,49.0,61.0,6.0,229.0,273.0,329.0,35.0,48.0,0.0,252.0,6.0,0.0
ŁÓDZKI,1060.0,26480.0,576.0,5778.0,11434.0,0.0,70.0,9.0,2.0,131.0,47.0,40.0,21.0,37.0,0.0,185.0,0.0,0.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,4547.0,54721.0,2830.0,11092.0,21364.0,3.0,313.0,348.0,1.0,175.0,326.0,244.0,111.0,193.0,3.0,201.0,2.0,0.0
RADOMSZCZAŃSKI,3468.0,53888.0,3983.0,9026.0,23383.0,18.0,256.0,604.0,2.0,155.0,291.0,127.0,95.0,261.0,2.0,94.0,32.0,0.0
SIERADZKI,4111.138881785095,49480.00692477398,1478.0861924755975,10536.000683609254,18416.71872586317,207.4076245334839,240.26853041467436,205.92017014842017,9.075497652342241,124.1253437413072,311.9191066477963,281.6328255498499,131.32267509083235,162.0290020352309,1.0488250919408812,187.3496062042032,0.009925692746504521,0.0
WIELUŃSKI,2784.0,53970.0,1598.0,10892.0,21668.0,471.0,350.0,164.0,8.0,214.0,297.0,128.0,107.0,205.0,7.0,29.0,0.0,0.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,3733.0,39739.0,8216.0,18220.0,16778.0,0.0,6716.0,65.0,1.0,168.0,352.0,632.0,106.0,1218.0,59.0,33.0,0.0,0.0
BRASŁAWSKI,3894.0,41358.0,8768.0,18419.0,12341.0,0.0,170.0,0.0,0.0,167.0,1108.0,4916.0,750.0,3191.0,35.0,1.0,0.0,0.0
LIDZKI,1662.0,49156.0,12732.0,22239.0,16740.0,0.0,7762.0,0.0,2.0,693.0,437.0,4379.0,231.0,2077.0,95.0,0.0,0.0,0.0
NIEŚWIESKI,4378.0,27604.0,6781.0,17479.0,14855.0,0.0,2266.0,42.0,0.0,13.0,72.0,407.0,13.0,1106.0,18.0,0.0,0.0,0.0
NOWOGRÓDZKI,6501.264786912255,34536.46250640323,8676.121214186978,18562.727742488816,14497.838620446417,0.0,3855.6313565557443,0.0,1.008274719033179,263.78609830815196,346.52958201812345,2357.1079836495005,181.06619775226542,2823.6032257884767,210.5461314561898,8.008274719033178,0.0,0.0
SŁONIMSKI,3085.0,38071.0,6100.0,12428.0,12894.0,0.0,5591.0,28.0,0.0,167.0,105.0,1688.0,53.0,985.0,79.0,0.0,0.0,0.0
STOŁPECKI,2428.7352130877453,29538.53749359677,6126.878785813022,11233.272257511184,13164.161379553585,0.0,2712.368643444256,0.0,0.9917252809668212,94.21390169184802,63.47041798187656,851.8920163504994,7.93380224773457,791.3967742115233,65.4538685438102,0.9917252809668212,0.0,0.0
WOŁOŻYŃSKI,1443.0,23048.0,7902.0,14618.0,10540.0,0.0,1920.0,0.0,0.0,30.0,67.0,2642.0,72.0,3029.0,202.0,1.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),1090.0,24593.0,6959.0,8944.0,9029.0,0.0,2445.0,0.0,0.0,119.0,198.0,2025.0,59.0,1065.0,41.0,6.0,0.0,0.0
BRZESKI (BRZEŚĆ N.BUG.),7631.000000039611,57549.00000023124,8833.00000002112,18081.00000008946,26429.000000110038,1.3934888564764614e-10,4546.000000007858,1848.00000000392,5.000000000006058,150.00000000148438,53.00000000156313,1394.0000000052953,213.00000000069068,1482.0000000029565,437.0000000010724,213.00000000225987,0.0,0.0
DROHICKI,2360.0,21364.0,2983.0,8699.0,11164.0,0.0,1588.0,1218.0,1.0,5.0,189.0,137.0,106.0,1136.0,54.0,8.0,0.0,0.0
KOBRYŃSKI,4755.0,35163.0,4177.0,9763.0,13834.0,0.0,2966.0,1629.0,0.0,39.0,35.0,320.0,93.0,1684.0,35.0,12.0,0.0,0.0
KOSZYRSKI,983.0,23607.0,3627.0,5627.0,11609.0,0.0,3019.0,1300.0,121.0,2.0,3.0,779.0,188.0,1450.0,966.0,0.0,0.0,0.0
ŁUNINIECKI,487.93605802391573,17215.29491121364,1508.7655516469433,3421.2569348000457,12052.366146424727,0.0,2576.8079356892786,1346.8820481677474,0.0,3.1225478101894732,2.5458947908440175,252.5262772723598,16.350689813634443,811.0421373209875,121.02179631621817,3.1893920702928225,0.0,0.0
PIŃSKI,1947.0639419760844,36950.70508878636,4417.234448353057,13780.743065199955,21512.633853575273,0.0,3977.192064310722,2741.117951832253,0.0,10.877452189810526,48.45410520915598,135.4737227276402,208.64931018636557,1778.9578626790126,356.9782036837818,16.810607929707178,0.0,0.0
PRUŻAŃSKI,2108.0,30137.0,4314.0,8527.0,17042.0,0.0,2416.0,764.0,0.0,219.0,11.0,366.0,63.0,1095.0,12.0,36.0,0.0,0.0
STOLIŃSKI,2368.0,23308.0,2550.0,4485.0,11500.0,0.0,4011.0,3568.0,6.0,5.0,10.0,261.0,137.0,656.0,415.0,0.0,0.0,0.0
IWACEWICKI,536.0,24842.0,3373.0,6299.0,9723.0,0.0,2037.0,358.0,0.0,8.0,21.0,185.0,26.0,931.0,31.0,34.0,0.0,0.0
BRODNICKI,3214.9542989762936,20425.402915369254,5110.126412498031,2458.226714527394,8617.349475135936,580.6869892451493,1.6386428553173502,0.0,1.1652281236057696,1985.8684660681672,1095.8057865360008,734.5179225014447,5.520920719641065,3.112375673613623,0.0,117.04090843263106,0.0,2.8534173795095423
CHEŁMIŃSKI,7613.760243512678,10965.899528561526,5354.846243404164,2414.095072157719,6173.733879049431,3091.0376321415597,81.53239181851107,3.0789331086004053,13.63550932197485,1656.0964437177768,1217.9441119649719,842.7470076493005,10.977572383381467,4.866483518403659,0.0,47.251503592017364,0.0,103.16510063237756
CHOJNICKI,1052.3479834529853,27516.233940199993,2054.227762853615,5254.125104012289,10376.624341601999,18.753891242953806,814.3376371774826,0.0,3.9481876300955383,544.9984634591942,633.8484541286696,466.0043127997878,2.9611407225716535,12.831609797810499,0.0,41.45900992175272,0.0,0.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,8068.797654062809,11753.433149308657,5208.3569406482675,3924.077436666229,5882.158436959337,1659.2732882726339,27.704026280043976,0.0,10.883724610017277,2569.548437474079,901.3702836114309,1316.9306778120906,41.556039420065964,5.936577060009424,0.0,71.23892472011309,0.0,216.68506269034398
KARTUSKI,358.93681768295534,24940.729666847532,1050.4036571975314,9936.779475909609,12057.147379824179,0.0,19.560589519507104,0.0,2.9340884279260653,307.1012554562615,403.92617357782166,533.0260644065686,19.560589519507104,0.9780294759753552,0.0,4.890147379876776,0.0,0.0
KOŚCIERSKI,797.8575446311112,22208.90651920731,950.9568907001975,5597.859016849788,9254.880788488957,3.472949186226868e-05,121.65144726532026,0.0,0.06591888354590572,759.174622707025,841.1948999656466,610.3315357257125,0.4394159640968764,0.02199428630855067,0.0,15.501742570735534,0.0,0.0
LUBAWSKI,2324.0,20619.0,4940.0,3947.0,7968.0,150.0,23.0,1.0,2.0,1255.0,1575.0,594.0,3.0,7.0,0.0,129.0,0.0,0.0
