District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce (sztuki),Kozy (sztuki)
GRÓDECKI,12863.000018036186,23724.000030315205,12791.000016852813,942.0000027598363,0.0
JAROSŁAWSKI,23581.0,46055.0,25342.0,437.0,0.0
JAWOROWSKI,17032.386200180044,28628.124862830067,15915.407046787319,2606.339516038333,0.0
KOLBUSZOWSKI,9501.0,32138.0,8294.0,34.0,0.0
KROŚNIEŃSKI,10707.379639522327,45367.81122461999,17428.70485801757,1436.7742016965724,0.0
LESKI,14567.0,44834.0,13330.0,6214.0,0.0
LWOWSKI,22643.0,46184.0,23381.0,218.0,0.0
LWÓW (MIASTO),1618.0,1456.0,651.0,45.0,0.0
ŁAŃCUCKI,13183.0,35817.0,16825.0,456.0,0.0
MOŚCISKI,15952.0,27797.0,11622.0,579.0,0.0
NIŻAŃSKI,9039.0,24806.0,12988.0,323.0,0.0
PRZEMYSKI,17650.0,39424.0,16571.0,504.0,0.0
PRZEWORSKI,8081.0,23369.0,12319.0,230.0,0.0
RAWSKI (RAWA RUSKA),19726.0,32308.0,28318.0,5134.0,0.0
RUDECKI,14205.0,22990.0,14134.0,52.0,0.0
RZESZOWSKI,18484.620360477675,67755.18877538001,30722.29514198243,583.2257983034277,0.0
SAMBORSKI,22954.021588589265,44391.60273860219,16256.050592290472,2300.381028190231,0.0
SANOCKI,15064.0,38966.0,11666.0,2656.0,0.0
SOKALSKI,24930.348945258756,28226.21885914564,41231.114353194185,16114.244172592038,0.0
TARNOBRZESKI,12359.0,29918.0,20670.0,202.0,0.0
ŻÓŁKIEWSKI,18133.999999884338,28998.99999981504,24550.99999984341,1119.9999999928566,0.0
LUBACZOWSKI,16776.613781783766,29898.875106854724,24315.592936359866,4208.66048120183,0.0
TURCZAŃSKI,12323.0,38435.0,9521.0,9417.0,0.0
BRZEZIŃSKI,12322.0,29672.0,20018.0,2003.0,0.0
ŁASKI,15186.0,32371.0,11651.0,1922.0,0.0
ŁĘCZYCKI,18738.0,40997.0,26174.0,921.0,0.0
ŁÓDZKI,11229.0,28160.0,15417.0,1564.0,0.0
ŁÓDŹ (MIASTO),4778.0,2469.0,1873.0,50.0,0.0
PIOTRKOWSKI,22911.000001698012,49330.00000355354,30466.000001797056,6261.00000047558,0.0
RADOMSZCZAŃSKI,22389.999998301988,46856.99999644646,23695.999998202944,6270.99999952442,0.0
SIERADZKI,19135.751251729307,44175.65858157067,25675.80529983849,1744.6890201772228,0.0
WIELUŃSKI,19607.0,46576.0,20804.0,2391.0,0.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,26493.0,44292.0,27125.0,22839.0,0.0
LIDZKI,34607.655794801256,60049.7747815696,30589.8233541618,34438.47009712132,0.0
NIEŚWIESKI,21912.0,32976.0,27085.0,29531.0,0.0
NOWOGRÓDZKI,25942.1249249056,44136.81956851829,31309.550650391724,24600.648297811847,0.0
SŁONIMSKI,21667.0,33981.0,17782.0,24849.0,0.0
STOŁPECKI,13677.875075094398,24907.180431481716,18882.449349608276,15538.351702188154,0.0
WOŁOŻYŃSKI,20680.0,40089.0,29706.0,21479.0,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),18424.897752417277,31863.029371120472,16303.311394213873,18310.621720887695,0.0
BRZESKI (BRZEŚĆ N.BUG.),31169.999925914748,56860.99986483327,46178.99989021964,33963.9999192137,0.0
DROHICKI,15338.966290465898,35335.20638729471,19371.544703046256,26400.864757046766,0.0
KOBRYŃSKI,18946.000074218322,62494.00013539069,30296.000109955978,37830.00008087106,0.0
KOSZYRSKI,10792.0,46124.0,17331.0,38994.0,0.0
ŁUNINIECKI,16794.638357825686,42644.7482345647,20864.329073507895,23885.3401975402,0.0
PIŃSKI,26184.395351708416,64048.04537814058,30337.126223445845,38518.79504541303,0.0
PRUŻAŃSKI,18131.0,33481.0,23982.0,24457.0,0.0
STOLIŃSKI,20708.0,48605.0,20898.0,13457.0,0.0
IWACEWICKI,13295.0,28660.0,18409.0,14305.0,0.0
BRODNICKI,13831.063873136907,33604.823161907436,37600.13965486973,11808.764432116186,0.0
CHEŁMIŃSKI,10216.585849139854,23596.57026113171,32388.93605802187,17577.04455837158,0.0
CHOJNICKI,8720.889415636193,24452.962215290438,27069.820831158486,16163.829245104038,0.0
GRUDZIĄDZ (MIASTO),548.0,303.0,641.0,0.0,0.0
GRUDZIĄDZKI,12111.606631929226,26002.207522841276,33249.77868360278,4432.644204807037,0.0
KARTUSKI,10283.97993988086,26020.474208324325,30810.862581651614,2928.220251070213,0.0
KOŚCIERSKI,8781.188312098437,21796.413341828335,28687.971387423324,3528.9676220411225,0.0
LUBAWSKI,13202.0,32011.0,34278.0,2149.0,0.0
SĘPOLEŃSKI,6127.0,19135.0,26003.0,5333.0,0.0
STAROGARDZKI,10702.34917082148,24175.533978090138,32061.555824235063,2889.4932614592667,0.0
ŚWIECKI,16470.076080792307,35901.02143141386,55186.39469813223,3503.110414785445,0.0
TCZEWSKI,8783.230973053162,17436.724201433193,24379.087145153575,4968.083004539152,0.0
TORUŃ (MIASTO),853.1520604220885,846.3878400743384,1713.3439219171942,67.9925114778934,0.0
TORUŃSKI,10255.262090438056,25028.041898793952,28674.72002006093,3789.962930150527,0.0
TUCHOLSKI,6213.286107717562,15598.870623619725,21085.307532245726,2654.2962010007636,0.0
WĄBRZESKI,11378.329494933865,25217.96931525129,28907.08166152749,1717.5913630767773,0.0
MORSKI,10307.0,26595.0,31768.0,3831.0,0.0
GDYNIA (MIASTO),0.0,0.0,0.0,0.0,0.0
BYDGOSKI,11822.889032413059,30071.0004777743,40555.46810213857,9314.97319014688,0.0
BYDGOSZCZ (MIASTO),1424.1109675869423,921.9995222256995,1917.5318978614314,183.02680985312102,0.0
INOWROCŁAWSKI,11565.0,32878.0,32858.0,10497.0,0.0
INOWROCŁAW (MIASTO),499.0,316.0,1145.0,28.0,0.0
SZUBIŃSKI,9856.0,27342.0,35806.0,7489.0,0.0
WYRZYSKI,13383.0,35485.0,48160.0,22376.0,0.0
LIPNOWSKI,17956.999999883254,42702.99999972237,29048.999999811138,7125.99999995367,0.0
NIESZAWSKI,17155.0,34345.0,28062.0,8630.0,0.0
RYPIŃSKI,15274.903322895105,37538.12431738381,29078.633874264284,5400.557669013237,0.0
WŁOCŁAWSKI,16239.0,32354.0,24907.0,8600.0,0.0
CHODZIESKI,8877.0,23362.0,30992.0,6862.0,0.0
CZARNKOWSKI,5616.0,14049.000000000002,19557.0,2318.0000000000005,0.0
GNIEŹNIEŃSKI,13591.785449636553,37413.26391682019,56584.33427649459,8115.36415549717,0.0
GOSTYŃSKI,9732.96258284906,28696.591905624915,32762.436455271727,5795.71115656658,0.0
JAROCIŃSKI,13908.838939858651,40406.45637059535,46883.56755409805,13086.111337947676,0.0
KĘPIŃSKI,13777.0,40790.0,41924.0,3833.0,0.0
KOŚCIAŃSKI,13328.809714754603,44114.245451967334,47069.83416882076,8817.779969716481,0.0
KROTOSZYŃSKI,12044.438743926627,38921.64395260596,38665.45863665232,4447.314070419704,0.0
LESZCZYŃSKI,8283.782082052148,27557.139424140143,30784.054467219044,3444.535133254421,0.0
MIĘDZYCHODZKI,5683.0,15128.0,19072.0,1869.0,0.0
MOGILEŃSKI,18114.0,47515.0,54278.0,13927.0,0.0
NOWOTOMYSKI,12699.0,37279.0,50438.0,7406.0,0.0
OBORNICKI,11507.864202161545,32867.40836280991,53888.59091462348,8587.23137646929,0.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),10763.458969492298,37803.54388005122,35816.176254506005,2763.1779291689245,0.0
POZNAŃ (MIASTO),2392.0,893.0,2069.0,29.0,0.0
RAWICKI,6299.516022091616,22910.531233150257,24087.202271772407,720.9908717547347,0.0
SZAMOTULSKI,11212.0,28482.0,38895.0,8675.0,0.0
ŚREDZKI,10718.0,28496.0,36253.0,5489.0,0.0
ŚREMSKI,10292.192944974997,28096.847781864824,34801.270191659685,4128.37953117148,0.0
WĄGROWIECKI,12147.41978459126,31551.69391637022,50059.07686683291,7645.556689233284,0.0
WOLSZTYŃSKI,7024.0,24058.0,27206.0,2334.0,0.0
WRZESIŃSKI,8741.0,24111.0,31123.0,2547.0,0.0
ŻNIŃSKI,9286.999999658328,24480.99999909934,37584.99999861724,6069.999999776684,0.0
POZNAŃSKI,13693.303416901219,35483.64179997149,49625.87453379809,4927.670728730057,0.0
GNIEZNO (MIASTO),603.6271470510954,200.99200492885618,1051.1234096336925,2.1770502935178455,0.0
KALISKI,18232.123184547665,48970.53657041174,33849.100225993316,2766.3092024139996,0.0
KOLSKI,16488.0,37343.0,31425.0,2388.0,0.0
KONIŃSKI,28711.0,74478.0,68260.0,6772.0,0.0
TURECKI,14953.12556372303,37226.80484801759,24337.094474168203,1922.001777408778,0.0
DOLIŃSKI,10392.27202133139,40121.96517110377,10893.941298261609,10935.4254884693,0.0
HORODEŃSKI,19055.0,19798.0,22504.0,15966.0,0.0
KAŁUSKI,10405.95019161378,31114.29433688536,15312.773803172731,3144.431935691329,0.0
KOŁOMYJSKI,18117.56565716427,38122.57966241252,30361.4821002825,8597.28515625669,0.0
KOSOWSKI (KOSÓW HUCULSKI),7095.0,27606.0,12996.0,39886.0,0.0
NADWÓRNIAŃSKI,12569.269937911213,35780.30170748546,18236.0046170649,13869.501820482663,0.0
ROHATYŃSKI,20780.0,38196.0,28887.0,795.0,0.0
STANISŁAWOWSKI,16378.271264451076,38948.32492626712,26091.414059889965,989.5930084977043,0.0
STRYJSKI,14711.306546677486,48452.17967292726,16073.351111170474,10197.269492308602,0.0
ŚNIATYŃSKI,10251.0,18808.0,20338.0,6415.0,0.0
TŁUMACKI,15576.620481406739,29622.88563994605,25536.69941200734,3386.8197389261213,0.0
ŻYDACZOWSKI,11246.421431991126,29187.85515596897,12533.707590567918,203.30501922209882,0.0
BIELSKI (BIELSKO),2594.0,14642.0,10831.0,3.0,0.0
BIELSKO (MIASTO),279.0,133.0,156.0,0.0,0.0
CIESZYŃSKI,3638.0,24189.0,22433.0,2734.0,0.0
TARNOGÓRSKI,1266.0,4107.0,4704.0,33.0,0.0
KATOWICE (MIASTO),1301.0,444.0,3966.0,1.0,0.0
KATOWICKI,2270.83315102529,2260.9941858995307,8692.725688608509,21.64572327667088,0.0
LUBLINIECKI,3762.0,14303.0,8856.0,102.0,0.0
PSZCZYŃSKI,7750.0,36176.0,27385.0,170.0,0.0
RYBNICKI,7999.0,32046.0,30126.0,241.0,0.0
ŚWIĘTOCHŁOWICKI,1759.5486619297358,1095.4578000392655,7250.470025859885,11.684883200418831,0.0
CHORZÓW,815.618187044974,187.5480140612038,1966.804285531606,0.669393522910291,0.0
BORSZCZOWSKI,18575.41989762393,25015.161856821436,36650.69439492416,20270.192674263228,0.0
BRODZKI,15477.372546522642,27859.96645478607,33912.268511440685,4110.929680589136,0.0
BRZEŻAŃSKI,17792.176064748273,25149.270787557205,18515.6745566204,2281.2573150453863,0.0
BUCZACKI,20636.0,33958.0,25003.0,2934.0,0.0
CZORTKOWSKI,13462.781709667184,20080.262042955623,24994.395813014013,2488.0120044549635,0.0
KAMIONECKI,14017.056138523287,23599.00029784597,25057.49041558947,1252.1434544096053,0.0
PODHAJECKI,18559.524685740675,28151.956674046236,21817.717719948847,1402.6301851299763,0.0
PRZEMYŚLAŃSKI,15335.0,26807.0,18612.0,714.0,0.0
RADZIECHOWSKI,14342.0,22257.0,29879.0,9591.0,0.0
SKAŁACKI,17447.158458647496,22939.908395052313,27717.39577781347,1089.4148405360577,0.0
TARNOPOLSKI,24054.645485135006,34442.99440504799,29775.112740222543,1205.9788521470498,0.0
TREMBOWELSKI,14736.328446580257,21793.96664090436,18304.942602053492,350.246727862316,0.0
ZALESZCZYCKI,11528.644598781442,15391.400296482523,20470.063911172507,11909.8375952651,0.0
ZBARASKI,16056.0,19827.0,18196.0,4724.0,0.0
ZBOROWSKI,15375.627453477358,25124.03354521393,25355.731488559315,1543.070319410864,0.0
ZŁOCZOWSKI,17386.594916333615,33477.780843193344,26328.395231372935,1447.6123730054994,0.0
KOPYCZYNIECKI,15572.64312052866,23738.692628135803,31644.628491813117,1258.798145441417,0.0
BŁOŃSKI,11839.0,24375.0,13351.0,292.0,0.0
CIECHANOWSKI,16612.0,32986.0,17269.0,2200.0,0.0
GOSTYNIŃSKI,11923.0,30574.0,17165.0,2519.0,0.0
GRÓJECKI,20992.167299187437,47778.18596702909,43961.69703763587,2702.9772568496082,0.0
KUTNOWSKI,14353.0,32239.0,19742.0,2646.0,0.0
ŁOWICKI,16024.0,33758.0,14690.0,3070.0,0.0
MAKOWSKI (MAKÓW MAZOWIECKI),13474.0,22294.0,12378.0,2690.0,0.0
MIŃSKI,12553.0,30488.0,19907.0,1764.0,0.0
MŁAWSKI,18670.0,41077.0,23583.0,1956.0,0.0
PŁOCKI,19987.0,37489.0,24486.0,3438.0,0.0
PŁOŃSKI,15622.0,31910.0,22287.0,4673.0,0.0
PRZASNYCKI,13567.0,26727.0,11420.0,2413.0,0.0
PUŁTUSKI,17290.0,34962.0,19787.0,2326.0,0.0
RADZYMIŃSKI,9620.0,20808.0,9272.0,271.0,0.0
RAWSKI (RAWA MAZOWIECKA),12911.0,28583.0,23919.0,6055.0,0.0
SIERPECKI,15167.096677221642,34521.87568289382,20071.366125924575,2525.4423310330926,0.0
SKIERNIEWICKI,8370.0,18864.0,10149.0,2191.0,0.0
SOCHACZEWSKI,10944.0,25506.0,14915.0,422.0,0.0
WARSZAWSKI,16554.0,26635.0,16859.0,343.0,0.0
DZIAŁDOWSKI,5511.0,14588.0,13348.0,3553.0,0.0
DUBIEŃSKI,55317.0,59205.0,57279.0,4342.0,0.0
HOROCHOWSKI,32341.0,34771.0,35382.0,3025.0,0.0
KOWELSKI,46829.0,93031.0,48271.0,31627.0,0.0
KRZEMIENIECKI,55108.0,55970.0,41672.0,17689.0,0.0
LUBOMELSKI,17732.0,36415.0,21460.0,16528.0,0.0
ŁUCKI,53906.0,77270.0,54286.0,9676.0,0.0
RÓWIEŃSKI,51157.0,60672.0,58140.0,13338.0,0.0
WŁODZIMIERSKI,34984.0,41196.0,35835.0,4661.0,0.0
KOSTOPOLSKI,25822.0,61543.0,37327.0,13995.0,0.0
ZDOŁBUNOWSKI,24836.0,25884.0,27642.0,5021.0,0.0
SARNEŃSKI,23653.0,75989.0,44843.0,20604.0,0.0
BRASŁAWSKI,28936.0,47333.0,22842.0,30839.0,0.0
OSZMIAŃSKI,18523.282347928853,35255.26527085107,25341.298326156735,19783.423412235006,0.0
ŚWIĘCIAŃSKI,26709.0,45240.0,24773.0,28971.0,0.0
WILNO (MIASTO),1274.0,1334.0,873.0,48.0,0.0
DZIŚNIEŃSKI,31819.0,52854.0,28694.0,35079.0,0.0
WILEJSKI,22262.0,45774.0,34239.0,20060.0,0.0
WILEŃSKO-TROCKI,37730.71765207115,70185.73472914893,48100.701673843265,33956.57658776499,0.0
POSTAWSKI,23056.0,37469.0,18104.0,23184.0,0.0
MOŁODECZAŃSKI,15482.0,28716.0,25427.0,17598.0,0.0
