Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso
BIAŁOSTOCKIE;AUGUSTOWSKI; 32 937 ; 181 800 ; 43 175 ; 129 729 ; 1 192 985 ; -   ; 5 753 ;  
BIAŁOSTOCKIE;BIAŁOSTOCKI; 52 556 ; 419 092 ; 60 385 ; 162 947 ; 1 810 394 ; -   ; 3 541 ;  
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);;;;;;;;
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI); 109 727 ; 519 479 ; 51 572 ; 159 033 ; 2 910 668 ; -   ; 7 446 ;  
BIAŁOSTOCKIE;GRODZIEŃSKI; 79 819 ; 465 618 ; 103 016 ; 191 645 ; 2 326 062 ; -   ; 16 012 ;  
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA); 62 125 ; 292 504 ; 29 074 ; 94 353 ; 1 463 274 ; 6 764 ; 10 305 ;  
BIAŁOSTOCKIE;OSTROŁĘCKI; 40 771 ; 392 299 ; 17 028 ; 65 962 ; 1 492 336 ; 6 537 ; 15 385 ;  
BIAŁOSTOCKIE;SOKÓLSKI; 23 602 ; 358 859 ; 51 158 ; 162 338 ; 1 430 639 ; -   ; 5 794 ;  
BIAŁOSTOCKIE;SUWALSKI; 32 684 ; 213 744 ; 54 935 ; 244 610 ; 925 977 ; -   ; 2 127 ;  
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE); 44 613 ; 208 996 ; 29 973 ; 91 941 ; 1 233 430 ; -   ; 4 827 ;  
BIAŁOSTOCKIE;WOŁKOWYSKI; 48 371 ; 607 304 ; 80 190 ; 199 759 ; 2 140 636 ; -   ; 14 330 ;  
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI; 72 307 ; 246 960 ; 38 104 ; 104 347 ; 1 342 989 ; 15 671 ; 981 ;  
BIAŁOSTOCKIE;ŁOMŻYŃSKI; 109 690 ; 618 314 ; 47 112 ; 207 216 ; 3 460 712 ; -   ; 12 996 ;  
KIELECKIE;BĘDZIŃSKI; 6 595 ; 115 369 ; 12 920 ; 22 010 ; 634 004 ; -   ; 67 ;  
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI; 26 082 ; 497 307 ; 29 224 ; 118 262 ; 2 251 237 ; 7 673 ; 1 094 ;  
KIELECKIE;IŁŻECKI; 63 673 ; 353 836 ; 145 361 ; 234 720 ; 2 355 446 ; 20 912 ; 17 159 ;  
KIELECKIE;JĘDRZEJOWSKI; 166 843 ; 258 188 ; 89 422 ; 107 149 ; 1 868 287 ; 2 653 ; 98 ;  
KIELECKIE;KIELECKI; 47 668 ; 279 774 ; 48 915 ; 104 539 ; 2 068 076 ; -   ; 1 742 ;  
KIELECKIE;KONECKI; 16 420 ; 279 651 ; 22 584 ; 64 702 ; 1 988 652 ; -   ; 627 ;  
KIELECKIE;KOZIENICKI; 47 937 ; 385 153 ; 108 780 ; 178 408 ; 2 037 875 ; 29 935 ; 12 925 ;  
KIELECKIE;MIECHOWSKI; 300 794 ; 340 910 ; 130 134 ; 223 034 ; 1 789 812 ; 120 088 ; 332 ;  
KIELECKIE;OLKUSKI; 62 674 ; 308 218 ; 61 679 ; 112 128 ; 1 816 537 ; -   ; 943 ;  
KIELECKIE;OPATOWSKI; 189 198 ; 326 613 ; 139 092 ; 291 834 ; 2 375 798 ; 311 893 ; 1 274 ;  
KIELECKIE;OPOCZYŃSKI; 35 342 ; 469 797 ; 49 473 ; 146 048 ; 2 559 580 ; -   ; 4 115 ;  
KIELECKIE;PIŃCZOWSKI; 198 380 ; 246 481 ; 103 247 ; 126 056 ; 1 198 713 ; 239 537 ; 140 ;  
KIELECKIE;RADOM (MIASTO);;;;;;;;
KIELECKIE;RADOMSKI; 74 339 ; 629 680 ; 111 888 ; 234 911 ; 3 436 970 ; -   ; 8 270 ;  
KIELECKIE;SANDOMIERSKI; 156 932 ; 226 026 ; 123 003 ; 166 334 ; 1 701 867 ; 196 375 ; 269 ;  
KIELECKIE;SOSNOWIEC;;;;;;;;
KIELECKIE;STOPNICKI; 153 158 ; 336 673 ; 92 057 ; 154 980 ; 2 414 449 ; 31 211 ; 630 ;  
KIELECKIE;WŁOSZCZOWSKI; 112 030 ; 295 905 ; 32 924 ; 79 687 ; 1 691 945 ; 1 055 ; 185 ;  
KIELECKIE;ZAWIERCIAŃSKI; 18 450 ; 172 222 ; 20 423 ; 32 662 ; 835 726 ; -   ; 811 ;  
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA); 15 679 ; 110 766 ; 10 886 ; 95 784 ; 960 171 ; 2 190 ; -   ;  
KRAKOWSKIE;BOCHEŃSKI; 74 771 ; 107 597 ; 36 681 ; 90 058 ; 934 172 ; 406 ; 16 ;  
KRAKOWSKIE;BRZESKI (BRZESKO); 77 735 ; 117 510 ; 39 972 ; 84 632 ; 1 069 297 ; 1 666 ; 60 ;  
KRAKOWSKIE;CHRZANOWSKI; 19 283 ; 122 001 ; 9 116 ; 53 566 ; 667 566 ; -   ; 40 ;  
KRAKOWSKIE;DĄBROWSKI; 97 302 ; 108 163 ; 29 756 ; 56 373 ; 702 803 ; 4 973 ; 70 ;  
KRAKOWSKIE;GORLICKI; 57 400 ; 91 265 ; 59 862 ; 152 506 ; 890 258 ; -   ; 48 ;  
KRAKOWSKIE;JASIELSKI; 75 117 ; 106 340 ; 32 559 ; 124 089 ; 982 019 ; 851 ; 196 ;  
KRAKOWSKIE;KRAKOWSKI; 120 768 ; 197 437 ; 39 768 ; 128 290 ; 1 262 961 ; 16 941 ; 83 ;  
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;
KRAKOWSKIE;LIMANOWSKI; 50 813 ; 65 282 ; 40 008 ; 93 260 ; 608 609 ; -   ; -   ;  
KRAKOWSKIE;MIELECKI; 70 500 ; 141 547 ; 30 160 ; 91 377 ; 1 591 596 ; 409 ; 700 ;  
KRAKOWSKIE;MYŚLENICKI; 56 866 ; 98 252 ; 31 078 ; 132 781 ; 810 696 ; -   ; -   ;  
KRAKOWSKIE;NOWOSĄDECKI; 77 840 ; 119 578 ; 69 747 ; 167 269 ; 1 332 555 ; -   ; -   ;  
KRAKOWSKIE;NOWOTARSKI; 3 084 ; 79 193 ; 93 394 ; 240 812 ; 803 379 ; -   ; -   ;  
KRAKOWSKIE;ROPCZYCKI; 103 275 ; 177 396 ; 40 360 ; 114 620 ; 1 496 330 ; 19 165 ; 156 ;  
